,Date,DaySin,DayCos,Meal,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,MealNum,Item1Num,Item2Num,Item3Num,Item4Num,Item5Num,Item6Num,Item7Num,Item8Num
665,28/01/23,-0.974927912,-0.222520934,Lunch,"GREEN SALAD, SPROUTS SALAD",FUISSILI PASTA IN PINK SAUCE (D),SUBJ KOLHAPURI (V),DAL MAKHANI (D),STEAMED RICE,TAWA ROTI,"ACHAR, PAPAD,JAGGERY",RICE KHEER (D),1,168,34,192,21,14,1,6,18
666,28/01/23,-0.974927912,-0.222520934,Snacks,STUFFED KULCHA (D),"TEA (D), COFFEE (D)",-1,-1,-1,-1,-1,-1,2,120,25,-1,-1,-1,-1,-1,-1
667,28/01/23,-0.974927912,-0.222520934,Dinner,"GREEN SALAD,MASALA LACCHA ONION",BUTTER CHICKEN(NV/D),KADHAI PANEER (D),YELLOW MOONG DAL TADKA,PLAIN RICE,TAWA ROTI,"ACHAR,JAGERRY",-1,3,1,134,7,83,2,1,8,-1
668,29/01/23,-0.781831482,0.623489802,Breakfast,CORNFLAKES,FRIED EGG (E),PAO (D),BHAJI (V),"BREAD, BUTTER (D), JAM","BANANA,APPLE","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","PORRIDGE (D), BOURNVITA",0,0,16,60,17,0,4,0,0
669,29/01/23,-0.781831482,0.623489802,Lunch,"GREEN SALAD, SIRKA ONION",PINDI CHOLEY,KHATTA MEETHA PETHA (V),BOONDI RAITA (D),PLAIN RICE,POORI,"ACHAR, PAPAD,JAGGERY",-1,1,20,17,13,47,2,7,6,-1
670,29/01/23,-0.781831482,0.623489802,Snacks,SPINACH & CORN SANDWICH (D),KHATTA MEETA PANI,-1,-1,-1,-1,-1,-1,2,169,92,-1,-1,-1,-1,-1,-1
671,29/01/23,-0.781831482,0.623489802,Dinner,"THAI CUCUMBER & CARROT SALAD,TOM YUM SOUP",VEGETABLE MANCHURIAN (V),CANTONESE STYLE VEG IN BLACK BEAN SAUCE (V),SINGAPORIAN NOODLES,VEG FRIED RICE,-1,-1,ASST PASTRIES (D),3,170,146,166,90,12,-1,-1,50
672,30/01/23,0,1,Breakfast,CORNFLAKES,EGG BHURJI (E),"IDLI,SAMBHAR",COCONUT CHUTNEY (V),"BREAD, BUTTER (D), JAM","BANANA, APPLE","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","PORRIDGE (D), BOURNVITA",0,0,4,188,0,0,18,0,0
673,30/01/23,0,1,Lunch,"GREEN SALAD,MASALA LACCHA ONION",HOMESTYLE CHICKEN CURRY (NV/D),PANEER LABABDAR (D),BLACK MASOOR DAL (V),PLAIN RICE,TAWA ROTI,"ACHAR, PAPAD,JAGGERY",-1,1,1,155,50,34,2,1,6,-1
674,30/01/23,0,1,Snacks,VEG PUFF (D),"TEA (D), COFFEE (D)",-1,-1,-1,-1,-1,-1,2,48,25,-1,-1,-1,-1,-1,-1
675,30/01/23,0,1,Dinner,"GREEN SALAD , SWEET CORN SOUP",BAKED VEGETABLES IN WHITE SAUCE (D),SOYA ALOO MATAR,DAL TADKA (V),PLAIN RICE,"TAWA ROTI,GARLIC BREAD","ACHAR,JAGGERY",KALA JAMUN (D),3,173,90,169,24,2,2,7,5
676,31/01/23,0.781831482,0.623489802,Breakfast,MUESLI,FRIED EGG (E),VEG PEANUT POHA (N),MINT CHUTNEY (D),"BREAD, BUTTER (D), JAM","BANANA, SHRADA","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","PORRIDGE (D), BOURNVITA",0,4,16,125,9,0,33,0,0
677,31/01/23,0.781831482,0.623489802,Lunch,"GREEN SALAD,MEDITERRANEAN SALAD (D)",CABBAGE MATAR (V),MASALA JEERA ALOO,RAJMA,JEERA RICE,TAWA ROTI,"ACHAR, PAPAD,JAGGERY",SOOJI HALWA (D),1,124,142,168,93,1,1,6,36
678,31/01/23,0.781831482,0.623489802,Snacks,JHAL MURI (N),"TEA (D), COFFEE (D)",-1,-1,-1,-1,-1,-1,2,155,25,-1,-1,-1,-1,-1,-1
679,31/01/23,0.781831482,0.623489802,Dinner,"GREEN SALAD, DAL SHORBA",MAC & CHEESE (D),SARSON KA SAAG  (V),DHABA DAL (V),JEERA RICE,TAWA ROTI,"ACHAR,JAGGERY",-1,3,187,3,131,26,1,1,7,-1
680,01/02/23,0.974927912,-0.222520934,Breakfast,CHOCOS,BOILED EGG(E),MOONG DAL CHILA (D),MINT CHUTNEY (D),"BREAD, BUTTER (D), JAM","BANANA,APPLE","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","PORRIDGE (D), BOURNVITA",0,8,12,133,9,0,4,0,0
681,01/02/23,0.974927912,-0.222520934,Lunch,"GREEN SALAD,MINT LACCHA ONION",CHICKEN BIRYANI (NV/D),VEGTABLE PANEER BIRYANI (D),ARHAR DAL TADKA,MIX RAITA (D),TAWA ROTI,"ACHAR, PAPAD,JAGGERY",-1,1,112,131,116,46,21,1,6,-1
682,01/02/23,0.974927912,-0.222520934,Snacks,FRUIT MUFFIN (D),"TEA (D), COFFEE (D)",-1,-1,-1,-1,-1,-1,2,175,25,-1,-1,-1,-1,-1,-1
683,01/02/23,0.974927912,-0.222520934,Dinner,"GREEN SALAD,MEXICAN SALAD",FUISSILI PASTA IN PINK SAUCE (D),PALAK CHANA (V),YELLOW MOONG DAL (V),PLAIN RICE,TAWA ROTI,"ACHAR,JAGGERY",FRUIT CUSTRAD (D),3,156,34,170,1,2,1,7,44
684,02/02/23,0.433883739,-0.900968868,Breakfast,CORNFLAKES,EGG BHURJI (E),BATHUA PARATHA,ALOO BHAJI,"BREAD, BUTTER (D), JAM","BANANA,PAPAYA","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","PORRIDGE (D), BOURNVITA",0,0,4,193,37,0,3,0,0
685,02/02/23,0.433883739,-0.900968868,Lunch,"GREEN SALAD, SPROUT SALAD",PENNE NEPOLITANA (D),GOBHI MASALA(V),KADHI PAKODA (D),PLAIN RICE,TAWA ROTI,"ACHAR, PAPAD,JAGGERY",-1,1,77,112,172,69,2,1,6,-1
686,02/02/23,0.433883739,-0.900968868,Snacks,CHEESE TOAST (D),"TEA (D), COFFEE (D)",-1,-1,-1,-1,-1,-1,2,76,25,-1,-1,-1,-1,-1,-1
